BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,COLLISION_ID
BRONX,0,0,4270673
BRONX,1,0,4268654
QUEENS,0,0,4269212
BROOKLYN,0,0,4268461
QUEENS,0,0,4268806
QUEENS,0,0,4268533
BRONX,0,0,4268585
QUEENS,1,0,4268315
MANHATTAN,0,0,4269338
BROOKLYN,0,0,4269018
BROOKLYN,0,0,4269281
QUEENS,0,0,4270270
QUEENS,0,0,4268501
QUEENS,0,0,4269209
BRONX,0,0,4268776
BRONX,0,0,4270002
QUEENS,0,0,4268691
BRONX,0,0,4268578
BROOKLYN,0,0,4268519
BROOKLYN,1,0,4268887
BROOKLYN,0,0,4268489
BROOKLYN,1,0,4273131
BROOKLYN,0,0,4269234
MANHATTAN,0,0,4268675
BROOKLYN,1,0,4269288
QUEENS,0,0,4268276
QUEENS,0,0,4269517
BRONX,0,0,4269258
QUEENS,1,0,4268587
MANHATTAN,0,0,4268799
BROOKLYN,1,0,4268888
MANHATTAN,0,0,4268678
BRONX,2,0,4272647
BROOKLYN,0,0,4269236
BROOKLYN,0,0,4269154
QUEENS,0,0,4268189
BROOKLYN,0,0,4268609
BROOKLYN,0,0,4268468
MANHATTAN,0,0,4270267
BRONX,0,0,4269323
BRONX,1,0,4268408
MANHATTAN,0,0,4269122
BROOKLYN,0,0,4268535
BRONX,1,0,4268872
QUEENS,0,0,4268595
QUEENS,0,0,4269881
BROOKLYN,0,0,4268472
QUEENS,0,0,4268549
QUEENS,0,0,4271386
BRONX,0,0,4268332
BROOKLYN,0,0,4268377
BROOKLYN,1,0,4268524
BRONX,1,0,4268760
BRONX,1,0,4268580
QUEENS,1,0,4268423
QUEENS,0,0,4268607
BROOKLYN,0,0,4270767
BROOKLYN,0,0,4268545
BROOKLYN,0,0,4270020
QUEENS,0,0,4268499
STATEN ISLAND,0,0,4269347
BROOKLYN,0,1,4269924
BROOKLYN,0,0,4269851
QUEENS,0,0,4282921
STATEN ISLAND,1,0,4269345
BROOKLYN,1,0,4269253
BROOKLYN,0,0,4269237
QUEENS,0,0,4268388
QUEENS,0,0,4268471
MANHATTAN,0,0,4269119
BRONX,0,0,4269087
QUEENS,0,0,4270512
BROOKLYN,0,0,4268986
BROOKLYN,1,0,4268642
MANHATTAN,0,0,4270277
QUEENS,0,0,4274829
BRONX,0,0,4283939
MANHATTAN,0,0,4269890
QUEENS,0,0,4271886
STATEN ISLAND,0,0,4268714
BROOKLYN,0,0,4268421
MANHATTAN,0,0,4268432
BRONX,1,0,4268368
BROOKLYN,0,0,4268997
QUEENS,0,0,4268842
QUEENS,0,0,4268478
QUEENS,0,0,4270287
MANHATTAN,0,0,4268448
BRONX,5,0,4268579
BROOKLYN,1,0,4270404
MANHATTAN,0,0,4268564
MANHATTAN,2,0,4269990
QUEENS,1,0,4268554
QUEENS,0,0,4268504
BROOKLYN,1,0,4269009
QUEENS,0,0,4269877
QUEENS,2,0,4268262
MANHATTAN,0,0,4269336
BRONX,0,0,4269090
BRONX,0,0,4268835
QUEENS,1,0,4268525
QUEENS,0,0,4268449
QUEENS,0,0,4268599
MANHATTAN,0,0,4268882
BROOKLYN,0,0,4271430
MANHATTAN,0,0,4268304
BROOKLYN,0,0,4269560
BROOKLYN,0,0,4268503
QUEENS,1,0,4268518
QUEENS,1,0,4268338
STATEN ISLAND,1,0,4270096
MANHATTAN,1,0,4269817
BROOKLYN,0,0,4269308
BRONX,1,0,4268411
BRONX,0,0,4268829
QUEENS,0,0,4268369
BROOKLYN,0,0,4268610
BRONX,0,0,4268577
BROOKLYN,0,0,4269235
BROOKLYN,0,0,4269304
QUEENS,1,0,4269452
BROOKLYN,0,0,4268873
BRONX,0,0,4268657
QUEENS,0,0,4269188
BROOKLYN,1,0,4269187
BRONX,0,0,4269859
MANHATTAN,0,0,4269938
QUEENS,1,0,4268849
QUEENS,0,0,4268551
BROOKLYN,0,0,4268988
BROOKLYN,0,0,4269408
BROOKLYN,0,0,4268547
MANHATTAN,0,0,4270276
STATEN ISLAND,1,0,4268336
BROOKLYN,0,0,4268180
BROOKLYN,0,0,4269252
BROOKLYN,0,0,4269964
BROOKLYN,1,0,4268889
BROOKLYN,0,0,4269033
QUEENS,0,0,4268453
BROOKLYN,0,0,4268217
BRONX,0,0,4269241
BROOKLYN,1,0,4269231
BROOKLYN,0,0,4269424
MANHATTAN,1,0,4268359
BRONX,0,0,4271355
BRONX,0,0,4268759
MANHATTAN,0,0,4269883
QUEENS,0,0,4268492
BRONX,0,0,4268412
BROOKLYN,0,0,4269005
QUEENS,0,0,4268840
QUEENS,0,0,4268225
MANHATTAN,1,0,4271234
QUEENS,0,0,4268591
QUEENS,0,0,4269195
BRONX,0,0,4268263
BRONX,4,0,4268660
BRONX,0,0,4268865
BROOKLYN,0,0,4269405
QUEENS,0,0,4268505
BRONX,0,0,4271136
BRONX,1,0,4269873
QUEENS,0,0,4063247
STATEN ISLAND,0,0,4268469
MANHATTAN,0,0,4268416
BROOKLYN,0,0,4268542
QUEENS,0,0,4268475
MANHATTAN,0,0,4268788
BROOKLYN,0,0,4268543
STATEN ISLAND,3,0,4268717
MANHATTAN,0,0,4268429
BRONX,0,0,4268948
QUEENS,0,0,4268451
BRONX,0,0,4268830
